# C2 = 1.46740110
# z   chi[kpc]   P(z)   M2   M3   M4
0.894747 3.13120999e+06 1.36471776e-15 5.81700703e-03 1.36847274e+04 3.45005041e+10
0.934910 3.23615965e+06 1.31874708e-15 6.37169404e-03 1.54797831e+04 4.03095910e+10
0.976876 3.34316756e+06 1.27269275e-15 6.96864141e-03 1.74754782e+04 4.69815341e+10
1.020726 3.45217351e+06 1.22663601e-15 7.60965420e-03 1.96883656e+04 5.46208053e+10
1.066544 3.56311141e+06 1.18065955e-15 8.29643606e-03 2.21354458e+04 6.33400249e+10
1.114418 3.67590904e+06 1.13484695e-15 9.03056392e-03 2.48340331e+04 7.32597860e+10
1.164442 3.79048887e+06 1.08928211e-15 9.81346211e-03 2.78015999e+04 8.45083153e+10
1.216711 3.90676786e+06 1.04404865e-15 1.06463758e-02 3.10556003e+04 9.72209392e+10
1.271326 4.02465821e+06 9.99229321e-16 1.15303443e-02 3.46132713e+04 1.11539349e+11
1.328393 4.14406753e+06 9.54905384e-16 1.24661747e-02 3.84914159e+04 1.27610642e+11
1.388021 4.26489939e+06 9.11156048e-16 1.34544162e-02 4.27061665e+04 1.45586129e+11
1.450326 4.38705381e+06 8.68057898e-16 1.44953352e-02 4.72727342e+04 1.65619908e+11
1.515428 4.51042761e+06 8.25684364e-16 1.55888921e-02 5.22051434e+04 1.87867182e+11
1.583451 4.63491522e+06 7.84105232e-16 1.67347201e-02 5.75159588e+04 2.12482361e+11
1.654529 4.76040872e+06 7.43386206e-16 1.79321056e-02 6.32160034e+04 2.39616904e+11
1.728797 4.88679904e+06 7.03588526e-16 1.91799727e-02 6.93140788e+04 2.69416973e+11
1.806398 5.01397571e+06 6.64768650e-16 2.04768687e-02 7.58166840e+04 3.02020877e+11
1.887483 5.14182813e+06 6.26978003e-16 2.18209550e-02 8.27277448e+04 3.37556364e+11
1.972208 5.27024544e+06 5.90262790e-16 2.32100003e-02 9.00483545e+04 3.76137774e+11
2.060735 5.39911744e+06 5.54663889e-16 2.46413783e-02 9.77765322e+04 4.17863113e+11
2.153237 5.52833483e+06 5.20216804e-16 2.61120695e-02 1.05907006e+05 4.62811094e+11
2.249890 5.65778960e+06 4.86951689e-16 2.76186679e-02 1.14431022e+05 5.11038186e+11
2.350882 5.78737575e+06 4.54893426e-16 2.91573915e-02 1.23336194e+05 5.62575761e+11
2.456408 5.91698905e+06 4.24061768e-16 3.07240986e-02 1.32606383e+05 6.17427368e+11
2.566670 6.04652820e+06 3.94471518e-16 3.23143089e-02 1.42221635e+05 6.75566256e+11
2.681882 6.17589418e+06 3.66132752e-16 3.39232294e-02 1.52158157e+05 7.36933169e+11
2.802265 6.30499143e+06 3.39051074e-16 3.55457866e-02 1.62388366e+05 8.01434549e+11
2.928052 6.43372730e+06 3.13227876e-16 3.71766634e-02 1.72880983e+05 8.68941184e+11
3.059485 6.56201277e+06 2.88660625e-16 3.88103424e-02 1.83601205e+05 9.39287419e+11
3.196818 6.68976234e+06 2.65343126e-16 4.04411540e-02 1.94510948e+05 1.01227100e+12
3.340315 6.81689415e+06 2.43265791e-16 4.20633313e-02 2.05569158e+05 1.08765366e+12
3.490254 6.94333034e+06 2.22415871e-16 4.36710689e-02 2.16732212e+05 1.16516242e+12
3.646923 7.06899659e+06 2.02777667e-16 4.52585881e-02 2.27954379e+05 1.24449189e+12
3.810625 7.19382293e+06 1.84332693e-16 4.68202058e-02 2.39188381e+05 1.32530730e+12
3.981674 7.31774278e+06 1.67059810e-16 4.83504076e-02 2.50386004e+05 1.40724863e+12
4.160402 7.44069400e+06 1.50935309e-16 4.98439232e-02 2.61498796e+05 1.48993552e+12
4.347153 7.56261791e+06 1.35932952e-16 5.12958030e-02 2.72478808e+05 1.57297315e+12
4.542286 7.68345998e+06 1.22023989e-16 5.27014945e-02 2.83279383e+05 1.65595894e+12
4.746178 7.80316927e+06 1.09177137e-16 5.40569164e-02 2.93855970e+05 1.73848983e+12
4.959222 7.92169862e+06 9.73585588e-17 5.53585270e-02 3.04166937e+05 1.82017020e+12
5.181830 8.03900458e+06 8.65318405e-17 5.66033866e-02 3.14174368e+05 1.90061999e+12
5.414430 8.15504700e+06 7.66579972e-17 5.77892095e-02 3.23844810e+05 1.97948290e+12
5.657471 8.26978955e+06 6.76955188e-17 5.89144047e-02 3.33149937e+05 2.05643435e+12
5.911421 8.38319873e+06 5.96004778e-17 5.99781015e-02 3.42067119e+05 2.13118885e+12
6.176770 8.49524480e+06 5.23267118e-17 6.09801607e-02 3.50579858e+05 2.20350665e+12
6.454031 8.60590066e+06 4.58260918e-17 6.19211685e-02 3.58678077e+05 2.27319912e+12
6.743736 8.71514251e+06 4.00488787e-17 6.28024134e-02 3.66358252e+05 2.34013294e+12
7.046447 8.82294921e+06 3.49441651e-17 6.36258480e-02 3.73623374e+05 2.40423274e+12
7.362745 8.92930246e+06 3.04603909e-17 6.43940351e-02 3.80482748e+05 2.46548217e+12
7.693240 9.03418659e+06 2.65459143e-17 6.51100825e-02 3.86951655e+05 2.52392348e+12
8.038571 9.13758826e+06 2.31496148e-17 6.57775691e-02 3.93050872e+05 2.57965561e+12
8.399403 9.23949680e+06 2.02214998e-17 6.64004645e-02 3.98806112e+05 2.63283114e+12
8.776432 9.33990339e+06 1.77132843e-17 6.69830486e-02 4.04247391e+05 2.68365216e+12
9.170385 9.43880179e+06 1.55789165e-17 6.75298319e-02 4.09408371e+05 2.73236562e+12
9.582022 9.53618735e+06 1.37750202e-17 6.80454827e-02 4.14325713e+05 2.77925832e+12
10.012136 9.63205770e+06 1.22612333e-17 6.85347607e-02 4.19038467e+05 2.82465184e+12
10.461556 9.72641199e+06 1.10004265e-17 6.90024612e-02 4.23587515e+05 2.86889775e+12
10.931150 9.81925118e+06 9.95878968e-18 6.94533671e-02 4.28015073e+05 2.91237306e+12
11.421823 9.91057783e+06 9.10578471e-18 6.98922084e-02 4.32364244e+05 2.95547585e+12
11.934521 1.00003959e+07 8.41396613e-18 7.03236250e-02 4.36678581e+05 2.99862093e+12
12.470233 1.00887108e+07 7.85867865e-18 7.07521263e-02 4.41001607e+05 3.04223469e+12
13.029992 1.01755291e+07 7.41764716e-18 7.11820398e-02 4.45376204e+05 3.08674853e+12
13.614877 1.02608590e+07 7.07048214e-18 7.16174382e-02 4.49843766e+05 3.13258955e+12
14.226016 1.03447091e+07 6.79813310e-18 7.20620349e-02 4.54442989e+05 3.18016718e+12
14.864588 1.04270897e+07 6.58233557e-18 7.25190345e-02 4.59208165e+05 3.22985410e+12
15.531823 1.05080117e+07 6.40511309e-18 7.29909314e-02 4.64166862e+05 3.28196015e+12
16.229009 1.05874870e+07 6.24841413e-18 7.34792511e-02 4.69336941e+05 3.33669829e+12
16.957490 1.06655282e+07 6.09398074e-18 7.39842427e-02 4.74722943e+05 3.39414284e+12
17.718671 1.07421488e+07 5.92355472e-18 7.45045412e-02 4.80312067e+05 3.45418204e+12
18.514020 1.08173628e+07 5.71951709e-18 7.50368450e-02 4.86070190e+05 3.51646975e+12
