z,sigma8,xi_min,alpha_hill,alpha_pareto,tail_event_count
2.0,0.87,0.001971840556512642,1.2551898027943553,1.2551898027943553,155990
2.0,0.87,0.0022854638641349886,1.271699428150824,1.271699428150824,131159
2.0,0.87,0.0026489692876105267,1.2866167535986668,1.2866167535986668,109862
2.0,0.87,0.00307029062975785,1.302932598579112,1.302932598579112,91912
2.0,0.87,0.0035586235730509655,1.3226166077903991,1.3226166077903991,76860
2.0,0.87,0.004124626382901348,1.3375959005262772,1.3375959005262772,63880
2.0,0.87,0.00478065253300738,1.360450950581649,1.360450950581649,53237
2.0,0.87,0.005541020330009492,1.382395949387755,1.382395949387755,44184
2.0,0.87,0.006422325422229356,1.3987595150579817,1.3987595150579817,36412
2.0,0.87,0.007443803013251681,1.4225442330433822,1.4225442330433822,30070
2.0,0.87,0.008627747685955867,1.4495239768018973,1.4495239768018973,24790
2.0,0.87,0.01,1.4754890592025065,1.4754890592025065,20335
